,0
0,0.1327724
1,0.5521626
2,0.7050086
3,0.7427934
4,0.7650914
5,0.3827444
6,0.3902302
7,0.68494797
8,0.115741394
9,0.9894258
10,0.055538066
11,0.89704585
12,0.17018548
13,0.9400409
14,0.22233702
15,0.010450608
16,0.41573024
17,0.8779721
18,0.1461765
19,0.2630318
20,0.791327
21,0.9202346
22,0.4534847
23,0.2693495
24,0.9708495
25,0.6382628
26,0.7127608
27,0.5909686
28,0.29579255
29,0.41012847
30,0.011959995
31,0.2873208
32,0.3797624
33,0.78330344
34,0.16601041
35,0.15644394
36,0.8465319
37,0.2695583
38,0.27454254
39,0.5694518
40,0.5256125
41,0.0321426
42,0.12159371
43,0.9205425
44,0.14969417
45,0.78458184
46,0.5822741
47,0.9036019
48,0.20362885
49,0.1591195
50,0.46795958
51,0.82437813
52,0.3939631
53,0.35920727
54,0.434148
55,0.5775777
56,0.46934253
57,0.9649869
58,0.097764246
59,0.4103034
60,0.8776735
61,0.4816457
62,0.3800064
63,0.13224944
64,0.86144555
65,0.5642187
66,0.9916825
67,0.4896929
68,0.9207096
69,0.01360334
70,0.12617625
71,0.50061697
72,0.95574015
73,0.44415522
74,0.9620182
75,0.43264395
76,0.537042
77,0.2971355
78,0.68249565
79,0.66076154
80,0.072301455
81,0.33316585
82,0.8712857
83,0.930817
84,0.6230612
85,0.5666291
86,0.8458236
87,0.30676416
88,0.35572124
89,0.37528205
90,0.2502216
91,0.896863
92,0.024811246
93,0.49827227
94,0.88796175
95,0.7166847
96,0.80217344
97,0.71956396
98,0.47198656
99,0.80150104
100,0.6203863
101,0.54191077
102,0.1850321
103,0.9260651
104,0.27501804
105,0.4795596
106,0.7308311
107,0.04939648
108,0.6571127
109,0.5825246
110,0.69449437
111,0.790745
112,0.26055208
113,0.87000424
114,0.5117854
115,0.64200294
116,0.3734982
117,0.4476963
118,0.3343049
119,0.12725931
120,0.48140776
121,0.1940657
122,0.9698404
123,0.7625171
124,0.18769053
125,0.5839632
126,0.7116556
127,0.74826366
128,0.9075457
129,0.99822867
130,0.0635023
131,0.16917837
132,0.45429707
133,0.7677209
134,0.6581089
135,0.59161705
136,0.92035824
137,0.9926097
138,0.30440703
139,0.73319423
140,0.41802192
141,0.82178575
142,0.683102
143,0.72650725
144,0.52074564
145,0.62254405
146,0.36383262
147,0.91021657
148,0.8858512
149,0.74479306
150,0.21297096
151,0.9835702
152,0.25807658
153,0.56868017
154,0.84330934
155,0.32937068
156,0.7081878
157,0.62889206
158,0.40258315
159,0.83181447
160,0.48829994
161,0.53534126
162,0.9318351
163,0.35824287
164,0.68106794
165,0.16126789
166,0.11337015
167,0.06794548
168,0.37162688
169,0.8892703
170,0.70253617
171,0.19756716
172,0.47917703
173,0.6571401
174,0.30686665
175,0.9725161
176,0.8582489
177,0.15347356
178,0.9535829
179,0.49881414
180,0.59822786
181,0.7141966
182,0.97783107
183,0.35900095
184,0.042262364
185,0.86237216
186,0.0072320807
187,0.6109582
